,descricao
0,"No dia 15 de outubro saiu o resultado da segunda pesquisa Ibope, realizada a pedido da TV Globo e do jornal Estadão, sobre as intenções de voto para prefeito de São Paulo.  No episódio de hoje você vai saber o resultado da pesquisa e também vai conhecer algumas das propostas para área de transporte público dos três candidatos mais bem colocados na pesquisa. Se puder, fique em casa! Quando sair não esqueça de usar a máscara! ?   @Gisele Alexandre  Neste episódio você vai ouvir um trecho da música Além do Relógio, do Americano Fiduhenrique. ? Você confere episódios inéditos do Manda Notícias toda terça e quinta-feira no Spotify, na Deezer, no Podcasts  Apple e no Facebook https://www.facebook.com/mandanoticias. Você também pode receber o podcast por WhatsApp, basta mandar um oi para o número (11) 98336-0334. O Manda Notícias ? é um podcast que leva informação de qualidade e promove a cultura periférica na zona sul de São Paulo. "
1,"E aí, bora mandar cultura? No episódio de hoje você vai conhecer o Cantinho de Integração de Todas as Artes, mais conhecido como Espaço Cultural CITA. E quem vai apresentar para nós este espaço é o Joka Andrade. Bora dar o play! Se puder, fique em casa! Quando sair não esqueça de usar a máscara! ?   @Gisele Alexandre  ? Episódios inéditos toda terça e quinta-feira no Spotify, na Deezer, no Podcasts  Apple e no Facebook https://www.facebook.com/mandanoticias. Você também pode receber o Manda Notícias por WhatsApp, basta mandar um oi para o número (11 ) 98336-0334.  O Manda Notícias ? é um podcast que leva informação de qualidade e promove a cultura periférica na zona sul de São Paulo. "
2,"Na semana passada, o governador de São Paulo, João Doria, anunciou o avanço de seis regiões, incluindo a capital, para a fase verde do plano de retomada das atividades econômicas. No episódio de hoje você vai saber o que muda com essa nova classificação. Se puder, fique em casa! Quando sair não esqueça de usar a máscara! ?  @Gisele Alexandre  ? Episódios inéditos toda terça e quinta-feira no Spotify, na Deezer, no Podcasts  Apple e no Facebook https://www.facebook.com/mandanoticias. Você também pode receber o Manda Notícias por WhatsApp, basta mandar um oi para o número (11) 98336-0334.  O Manda Notícias ? é um podcast que leva informação de qualidade e promove a cultura periférica na zona sul de São Paulo. "
3,"No episódio de hoje vamos falar sobre o documentário Dentro da Minha Pele, um filme que traz relatos reais de pessoas negras que passaram por situações de violência racial em diversos espaços.  E esse filme lindo, teve a direção de fotografia do Daniel Fagundes, um cineasta nascido e criado aqui na quebrada da zona sul que trocou uma ideia com a gente sobre este e outros trabalhos. Se puder, fique em casa! Quando sair não esqueça de usar a máscara! ?   @Gisele Alexandre  ? Episódios inéditos toda terça e quinta-feira no Spotify, na Deezer, no Podcasts  Apple e no Facebook https://www.facebook.com/mandanoticias. Você também pode receber o Manda Notícias por WhatsApp, basta mandar um oi para o número (11 ) 98336-0334.  O Manda Notícias ? é um podcast que leva informação de qualidade e promove a cultura periférica na zona sul de São Paulo. "
4,"Na próxima sexta-feira, dia 9 de outubro, começa a propaganda eleitoral na TV e no rádio. E no primeiro episódio sobre as eleições municipais, vamos abordar as principais regras das eleições e também falar sobre as mudanças causadas pela pandemia. Se puder, fique em casa! Quando sair não esqueça de usar a máscara! ?  @Gisele Alexandre  ? Episódios inéditos toda terça e quinta-feira no Spotify, na Deezer, no Podcasts  Apple e no Facebook https://www.facebook.com/mandanoticias. Você também pode receber o Manda Notícias por WhatsApp, basta mandar um oi para o número (11 ) 98336-0334. O Manda Notícias ? é um podcast que leva informação de qualidade e promove a cultura periférica na zona sul de São Paulo. "
5,"No episódio de hoje você vai conhecer o Sarau da Ponte Pra Cá, uma articulação cultural independente que fez 6 anos de (re)existência no mês de setembro. E para contar pra gente sobre esse encontro incrível de artistas e poetas periféricos, convidamos a mãe, artista, empreendedora e escritora Thata Alves. Bora dar o play pra conhecer mais essa iniciativa cultural da quebrada? ?  Se puder, fique em casa! Quando sair não esqueça de usar a máscara! ?   @Gisele Alexandre  ? Episódios inéditos toda terça e quinta-feira no Spotify, na Deezer, no Podcasts Apple e no Facebook https://www.facebook.com/mandanoticias. Você também pode receber o Manda Notícias por WhatsApp, basta mandar um oi para o número (11) 98336-0334.  _O Manda Notícias ? é um podcast que leva informação de qualidade e promove a cultura periférica na zona sul de São Paulo. "
6,"Está cada dia mais difícil colocar o clássico arroz com feijão na mesa do brasileiro. Como se não bastasse a quarentena, que nos obriga a ficar mais tempo em casa para não correr o risco de ser contaminado pelo coronavírus, os preços dos alimentos deram um salto nos últimos meses. No episódio de hoje vamos falar sobre alguns dos motivos que explicam a alta dos preço. Se puder, fique em casa! Quando sair não esqueça de usar a máscara! ?   @Gisele Alexandre  ? Episódios inéditos toda terça e quinta-feira no Spotify, na Deezer, no Podcasts  Apple e no Facebook https://www.facebook.com/mandanoticias.  Você também pode receber o Manda Notícias por WhatsApp, basta mandar um oi para o número (11)98336-0334.  O Manda Notícias ? é um podcast que leva informação de qualidade e promove a cultura periférica na zona sul de São Paulo. "
7,"No episódio de hoje eu quero te apresentar Katiana Normandia, uma mulher incrível, da quebrada do Grajaú, que é empreendedora social e uma das idealizadoras do podcast Vozes Femininas.  Bora dar o play pra conhecer essa deusa periférica?! Se puder, fique em casa! Quando sair não esqueça de usar a máscara! ?   @Gisele Alexandre  ? Episódios inéditos toda terça e quinta-feira no Spotify, na Deezer, no Podcasts Apple e no Facebook @mandanoticias. Você também pode receber o Manda Notícias por WhatsApp, basta mandar um oi para o número (11) 98336-0334. O Manda Notícias ? é um podcast que leva informação de qualidade e promove a cultura periférica na zona sul de São Paulo. Este conteúdo faz parte do Quebrada Comunica, projeto de fortalecimento do campo da comunicação periférica da cidade de São Paulo idealizado pela Rede Jornalistas das Periferias em parceria com o Instituto de Referência Negra Peregum e o Fórum de Comunicação e Territórios. A trilha sonora utilizada no final deste episódio é de Nara Couto, single Linda e Preta. "
8,"No episódio de hoje vamos falar sobre a retomada de algumas atividades na área da educação, anunciadas pelo prefeito de São Paulo, Bruno Covas, em coletiva de imprensa na semana passada. Confira. Se puder, fique em casa! Quando sair não esqueça de usar a máscara! ?  @Gisele Alexandre  ? Episódios inéditos toda terça e quinta-feira no Spotify, na Deezer, no Podcasts  Apple e no Facebook @mandanoticias. Você também pode receber o Manda Notícias por WhatsApp, basta mandar um oi para o número (11)98336-0334.  O Manda Notícias ? é um podcast que leva informação de qualidade e promove a cultura periférica na zona sul de São Paulo. "
9,"No episódio de hoje a gente vai falar sobre “Gratidão” o novo single do Mc e produtor musical Alanshark, lançado sexta-feira passada nas plataformas de streaming e nas redes sociais, e também sobre o trabalho dele no coletivo Fora de Frequência. Bora mandar cultura periférica? Se puder, fique em casa! Quando sair não esqueça de usar a máscara! ?   @Gisele Alexandre  ? Episódios inéditos toda terça e quinta-feira no Spotify, na Deezer, no Podcasts Apple e no Facebook @mandanoticias. Você também pode receber o Manda Notícias por WhatsApp, basta mandar um oi para o número (11) 98336-0334.  O Manda Notícias ? é um podcast que leva informação de qualidade e promove a cultura periférica na zona sul de São Paulo. "
